,datetime,city,state,country,shape,duration_(seconds),duration_(hours/min),comments,date_posted,latitude,longitude,month,year,year_month
64864,2013-07-20 22:00:00,west point,ca,,oval,120,1-2 minutes,Oval UFO seen in Calaveras County July 20 2013.,7/22/2013,37.320722,-119.565078,7,2013,2013-07
64865,2013-07-20 22:02:00,seattle,wa,us,circle,240,3-4 minutes,I witnessed a large glowing transparent ovoid shape with very bright orange light inside.,7/22/2013,47.6063889,-122.3308333,7,2013,2013-07
64866,2013-07-20 22:15:00,santa monica,ca,us,formation,600,10 minutes,A massive formation of bright ascending glittering silent lights over the ocean.,7/22/2013,34.0194444,-118.4902778,7,2013,2013-07
64867,2013-07-20 22:30:00,columbus,oh,us,other,300,5 minutes,Huge light cluster (possible ufos).,7/22/2013,39.9611111,-82.9988889,7,2013,2013-07
64868,2013-07-20 22:30:00,west bend,wi,,oval,600,10 minutes,Large orange oval glow from South to W Bend&#44 hovering&#44 noiseless and then disappearing rapidly.,8/30/2013,43.797762,-88.003208,7,2013,2013-07
64869,2013-07-20 23:00:00,terryville,ct,us,unknown,600,10 minutes,8 large bright orange fire balls with no sound following the same path one after another.,7/22/2013,41.6780556,-73.0113889,7,2013,2013-07
64870,2013-07-20 23:40:00,pico rivera,ca,us,oval,120,2 minutes,Large glowing orange object/ 4 blackhawk helicopters in the morning.,8/30/2013,33.9830556,-118.0958333,7,2013,2013-07
64871,1968-07-21 14:00:00,oakland,ca,us,cigar,300,5 minutes,Large object on a clear day completely vanished after hovering in plain sight,5/11/2005,37.8044444,-122.2697222,7,1968,1968-07
64873,1972-07-21 22:00:00,wayland,ma,us,light,720,10-12 min,Brilliant lights in the sky 100 fee directly overhead on a dead quiet nite&#44Without a sound&#44Nothing.,10/11/2005,42.3625000,-71.3619444,7,1972,1972-07
64874,1974-07-21 21:00:00,newark,de,us,disk,900,15 minutes,This was not a far away light but a real flying sauser hovering directly above me.,1/10/2009,39.6836111,-75.75,7,1974,1974-07
64875,1974-07-21 22:30:00,apple valley/burnsville,mn,,disk,0,unknown,My background is with the Department of Defense Special Technical Operations. I do not wish to mention which company or location for ob,10/31/2003,44.774681,-93.308678,7,1974,1974-07
64876,1975-07-21 00:30:00,murphysboro,il,us,unknown,30,30 sconds,We had just finished playing a ballgame in Murphysboro&#44 Illinois and began our trip home to Decatur. We were driving through the Shawne,4/18/2012,37.7644444,-89.335,7,1975,1975-07
64877,1976-07-21 01:00:00,warren,mi,us,disk,20,15-20 sec,It shot up and out of sight,8/11/2004,42.4775000,-83.0277778,7,1976,1976-07
